
# Surface 0 of 1 surfaces

# Curve title: ""math100gp2_contourtmp0.dat""

# Contour 0, label:        0
 0.756995  0.0958661  0 
 0.655995  0.0719364  0 
 0.554995  0.0513878  0 
 0.545146  0.0499954  0 
 0.453995  0.0343832  0 
 0.352995  0.0207914  0 
 0.251995  0.0105998  0 
 0.150995  0.00380781  0 
 0.0499954  0.00041151  0 
 0.000438335 -0.0510045  0 
 0.00384297 -0.152004  0 
 0.0106523 -0.253004  0 
 0.0208626 -0.354004  0 
 0.0344735 -0.455004  0 
 0.0499954 -0.545406  0 
 0.0514714 -0.556004  0 
 0.0717296 -0.657004  0 
 0.0954062 -0.758004  0 
 0.122495 -0.859004  0 
 0.150995 -0.952674  0 
 0.152961 -0.960004  0 
 0.186389 -1.061  0 
 0.223259 -1.162  0 
 0.251995 -1.23229  0 
 0.263337 -1.263  0 
 0.306291 -1.364  0 
 0.35271 -1.465  0 
 0.352995 -1.46554  0 
 0.401511 -1.566  0 
 0.453804 -1.667  0 
 0.453995 -1.66733  0 
 0.508234 -1.768  0 
 0.554995 -1.84867  0 
 0.565881 -1.869  0 
 0.625756 -1.97  0 
 0.655995 -2.017  0 
 0.688232 -2.071  0 
 0.753394 -2.172  0 
 0.756995 -2.17709  0 
 0.820205 -2.273  0 
 0.857995 -2.32634  0 
 0.889491 -2.374  0 
 0.958995 -2.47181  0 
 0.961112 -2.475  0 
 1.03404 -2.576  0 
 1.05999 -2.60951  0 
 1.10896 -2.677  0 
 1.16099 -2.74399  0 
 1.18578 -2.778  0 
 1.26199 -2.87575  0 
 1.26438 -2.879  0 
 1.34396 -2.98  0 
 1.36299 -3.00265  0 
 1.42501 -3.081  0 
 1.46399 -3.12725  0 
 1.50749 -3.182  0 
 1.56499 -3.25002  0 
 1.5913 -3.283  0 
 1.66599 -3.37109  0 
 1.67633 -3.384  0 
 1.76233 -3.485  0 
 1.76699 -3.49016  0 
 1.84903 -3.586  0 
 1.86799 -3.60694  0 
 1.93671 -3.687  0 
 1.96899 -3.72258  0 
 2.0253 -3.788  0 
 2.06999 -3.83716  0 
 2.11473 -3.889  0 
 2.17099 -3.95078  0 
 2.20494 -3.99  0 
 2.27199 -4.06351  0 
 2.29585 -4.091  0 
 2.37299 -4.17541  0 
 2.38743 -4.192  0 
 2.47399 -4.28657  0 
 2.4796 -4.293  0 
 2.57225 -4.394  0 
 2.57499 -4.39685  0 
 2.66524 -4.495  0 
 2.67599 -4.50616  0 
 2.75872 -4.596  0 
 2.77699 -4.61494  0 
 2.85267 -4.697  0 
 2.87799 -4.72324  0 
 2.94704 -4.798  0 
 2.97899 -4.83109  0 
 3.0418 -4.899  0 
 3.07999 -4.93852  0 
 3.13693 -5  0 

 0.352995  1.4431  0 
 0.362767  1.46399  0 
 0.416189  1.56499  0 
 0.453995  1.63086  0 
 0.473441  1.66599  0 
 0.535062  1.76699  0 
 0.554995  1.79678  0 
 0.601381  1.86799  0 
 0.655995  1.94563  0 
 0.672095  1.96899  0 
 0.747984  2.06999  0 
 0.756995  2.08099  0 
 0.829782  2.17099  0 
 0.857995  2.20332  0 
 0.917475  2.27199  0 
 0.958995  2.31639  0 
 1.01181  2.37299  0 
 1.05999  2.42082  0 
 1.11375  2.47399  0 
 1.16099  2.5173  0 
 1.22449  2.57499  0 
 1.26199  2.60658  0 
 1.34559  2.67599  0 
 1.36299  2.6894  0 
 1.46399  2.76515  0 
 1.48036  2.77699  0 
 1.56499  2.83369  0 
 1.63353  2.87799  0 
 1.66599  2.89746  0 
 1.76699  2.95449  0 
 1.81355  2.97899  0 
 1.86799  3.00554  0 
 1.96899  3.05044  0 
 2.04343  3.07999  0 
 2.06999  3.08976  0 
 2.17099  3.12088  0 
 2.27199  3.14597  0 
 2.37299  3.1639  0 
 2.47399  3.17334  0 
 2.57499  3.17274  0 
 2.67599  3.16029  0 
 2.77699  3.1338  0 
 2.87799  3.09065  0 
 2.89583  3.07999  0 
 2.97899  3.01758  0 
 3.01758  2.97899  0 
 3.07999  2.89583  0 
 3.09065  2.87799  0 
 3.1338  2.77699  0 
 3.16029  2.67599  0 
 3.17275  2.57499  0 
 3.17334  2.47399  0 
 3.1639  2.37299  0 
 3.14597  2.27199  0 
 3.12088  2.17099  0 
 3.08976  2.06999  0 
 3.07999  2.04343  0 
 3.05044  1.96899  0 
 3.00554  1.86799  0 
 2.97899  1.81355  0 
 2.9545  1.76699  0 
 2.89746  1.66599  0 
 2.87799  1.63353  0 
 2.83369  1.56499  0 
 2.77699  1.48036  0 
 2.76515  1.46399  0 
 2.6894  1.36299  0 
 2.67599  1.34559  0 
 2.60658  1.26199  0 
 2.57499  1.22449  0 
 2.5173  1.16099  0 
 2.47399  1.11375  0 
 2.42082  1.05999  0 
 2.37299  1.01181  0 
 2.31639  0.958995  0 
 2.27199  0.917475  0 
 2.20332  0.857995  0 
 2.17099  0.829782  0 
 2.08099  0.756995  0 
 2.06999  0.747984  0 
 1.96899  0.672095  0 
 1.94563  0.655995  0 
 1.86799  0.601381  0 
 1.79678  0.554995  0 
 1.76699  0.535062  0 
 1.66599  0.473441  0 
 1.63086  0.453995  0 
 1.56499  0.416189  0 
 1.46399  0.362767  0 
 1.4431  0.352995  0 
 1.36299  0.313672  0 
 1.26199  0.268143  0 
 1.22129  0.251995  0 
 1.16099  0.226493  0 
 1.05999  0.18854  0 
 0.958995  0.15394  0 
 0.948452  0.150995  0 
 0.857995  0.123184  0 
 0.756995  0.0958661  0 

-5  3.13693  0 
-4.93852  3.07999  0 
-4.899  3.0418  0 
-4.83109  2.97899  0 
-4.798  2.94704  0 
-4.72324  2.87799  0 
-4.697  2.85267  0 
-4.61494  2.77699  0 
-4.596  2.75872  0 
-4.50616  2.67599  0 
-4.495  2.66524  0 
-4.39685  2.57499  0 
-4.394  2.57225  0 
-4.293  2.4796  0 
-4.28657  2.47399  0 
-4.192  2.38743  0 
-4.17541  2.37299  0 
-4.091  2.29585  0 
-4.06351  2.27199  0 
-3.99  2.20494  0 
-3.95078  2.17099  0 
-3.889  2.11473  0 
-3.83716  2.06999  0 
-3.788  2.0253  0 
-3.72258  1.96899  0 
-3.687  1.93671  0 
-3.60694  1.86799  0 
-3.586  1.84903  0 
-3.49016  1.76699  0 
-3.485  1.76233  0 
-3.384  1.67633  0 
-3.37109  1.66599  0 
-3.283  1.5913  0 
-3.25002  1.56499  0 
-3.182  1.50749  0 
-3.12725  1.46399  0 
-3.081  1.42501  0 
-3.00265  1.36299  0 
-2.98  1.34396  0 
-2.879  1.26438  0 
-2.87575  1.26199  0 
-2.778  1.18578  0 
-2.74399  1.16099  0 
-2.677  1.10896  0 
-2.60951  1.05999  0 
-2.576  1.03405  0 
-2.475  0.961112  0 
-2.47181  0.958995  0 
-2.374  0.889491  0 
-2.32634  0.857995  0 
-2.273  0.820205  0 
-2.17709  0.756995  0 
-2.172  0.753395  0 
-2.071  0.688233  0 
-2.017  0.655995  0 
-1.97  0.625756  0 
-1.869  0.565881  0 
-1.84867  0.554995  0 
-1.768  0.508234  0 
-1.66733  0.453995  0 
-1.667  0.453804  0 
-1.566  0.401511  0 
-1.46554  0.352995  0 
-1.465  0.35271  0 
-1.364  0.306291  0 
-1.263  0.263337  0 
-1.23229  0.251995  0 
-1.162  0.22326  0 
-1.061  0.186389  0 
-0.960004  0.152961  0 
-0.952674  0.150995  0 
-0.859004  0.122495  0 
-0.758004  0.0954062  0 
-0.657004  0.0717295  0 
-0.556004  0.0514714  0 
-0.545406  0.0499954  0 
-0.455004  0.0344735  0 
-0.354004  0.0208626  0 
-0.253004  0.0106523  0 
-0.152004  0.00384296  0 
-0.0510045  0.000438325  0 
 0.00041152  0.0499954  0 
 0.00380782  0.150995  0 
 0.0105998  0.251995  0 
 0.0207914  0.352995  0 
 0.0343832  0.453995  0 
 0.0499954  0.545146  0 
 0.0513878  0.554995  0 
 0.0719364  0.655995  0 
 0.0958661  0.756995  0 
 0.123184  0.857995  0 
 0.150995  0.948452  0 
 0.15394  0.958995  0 
 0.18854  1.05999  0 
 0.226493  1.16099  0 
 0.251995  1.22129  0 
 0.268143  1.26199  0 
 0.313672  1.36299  0 
 0.352995  1.4431  0 

